#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
dragon_intel_rebirth_desc;Here you stand; at [Root.Location.GetName]; where the rebirth of the Dragons happened when they were once again brought back into the world after having not been seen for so long. You wander around and look at all that you can relating to dragon lore.;Vous êtes à [Root.Location.GetName]; wlà où la renaissance des dragons a eu lieu; là où ils sont enfin revenus au monde après avoir disparu pendant si longtemps. Vous regardez autour de vous pour trouver tout ce qui pourrait vous aider à mieux connaître ces bêtes majestueuses.;;;Estás en [Root.Location.GetName]; allí donde tuvo lugar el renacimiento de los dragones; allí donde finalmente  regresaron al mundo después de haber desaparecido durante mucho tiempo. MIras a tu alrededor para encontrar alguna cosa que te pueda ayudar a entender mejor a estas criaturas majestuosas.;;;;;;;;;x;;;;;;;;;;
dragon_intel_rebirth_opt;This will defenitely be useful;Cela va définitivement être utile.;;;Esto será muy útil sin duda;;;;;;;;;x;;;;;;;;;;;;;;;;
CHILDHOOD_FOCUS_DRAGON;Childhood Focus: Dragon;Intérêt d'enfance: Dragon;;;Foco de infancia: Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EDUCATION_FOCUS_DRAGON;Education Focus: Dragon;Intérêt d'éducation: Dragon;;;Foco de educación: Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
focus_ch_dragon_desc;[This.GetTitledFirstName] is a Dragon; which obviously recieves no formal education.;[This.GetTitledFirstName] est une dragon; ces derniers ne reçoivent pas d'éducation. ;;;[This.GetTitledFirstName] es un dragón; no reciben educación.;;;;;;;;;x;;;;;;;;;;;;;
focus_ed_dragon_desc;[This.GetTitledFirstName] is a Dragon; which obviously recieves no formal education.;[This.GetTitledFirstName] est une dragon; ces derniers ne reçoivent pas d'éducation. ;;;[This.GetTitledFirstName] es un dragón; no reciben educación.;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.97;On my wedding day; my kind host [From.GetFirstName] has gifted me three dragon eggs from Asshai. They are so old that they have become petrified and turned to stone; however when I touch them I still feel the heat beneath them... just waiting to be released...;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.97;Fire and Blood;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.98;On my wedding day; my new wife's kind host [From.GetFirstName] has gifted her three dragon eggs from Asshai. They are so old that they have become petrified and turned to stone; however when [FromFromFrom.GetFirstName] touches them she claims to still feel the heat beneath them... whatever keeps her happy...;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.98;Would have preffered coin as opposed to glorified paper weights;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.499;You have decided [From.GetFirstName] should be given a new name;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.499;[new_dragon_name_1.GetFirstName];;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.499;[new_dragon_name_2.GetFirstName];;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.499;Show me more names;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.499;I change my mind;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
rename_dragon;Rename Dragon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
rename_dragon_desc;Give [Root.GetFirstName] a new name;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.499;New name options shall be presented;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
wroth_dragon;Wroth;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
wroth_dragon_desc;This dragon is prone to periods of rage; lashing out at all around it.\nTaming Chance: §Rx0.5§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
obedient_dragon;Obedient;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
obedient_dragon_desc;This dragon accepts commands calmly; and for the most part seems serene.\nTaming Chance: §Gx2§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
lazy_dragon;Lazy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
lazy_dragon_desc;This dragon spends long periods of the day dozing; only rousing to hunt and fly on rare occasions.\nSize Growth: §Rx0.85§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ravenous_dragon;Ravenous;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ravenous_dragon_desc;This dragon's appetite for meat and prey is insatiable; it flies out to hunt whenver it can and may grow fat.\nSize Growth: §Gx1.25§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
playful_dragon;Playful;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
playful_dragon_desc;This dragon enjoys the company of other dragons; seeking to fly with them whenever possible. This leaves it susceptible to attack however.\nDragon Egg Chance: §Gx1.33§!\nTaming Chance: §Gx1.5§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
lunatic_dragon;Crazed;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
lunatic_dragon_desc;This dragon seems abnormal and crazed. Sometimes it seems calm; but can attack man or dragon with no provocation.\nTaming Chance: §Rx0.5§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
affectionate_dragon;Affectionate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
affectionate_dragon_desc;This dragon seems to trust men; accepting riders easily without complaint.\nTaming Chance: §Gx2§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
shy_dragon;Shy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
shy_dragon_desc;This dragon is a notably shy dragon who avoids men and their works for years at a time. It prefers to hunt and feed at night.\n§RCannot usually be directly found in the wild§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
strong_dragon;Strong;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
strong_dragon_desc;This dragon is naturally lean and muscular; and seems to grow at an accelerated rate.\nSize Growth: §Gx1.66§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
nimble_dragon;Nimble;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
nimble_dragon_desc;This dragon is lighter and weaker than many other dragons. This makes it agile however; giving it an edge in dragon duels.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
fertile_dragon;Fertile;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fertile_dragon_desc;This dragon seems to lay eggs at a greater frequency than others.\nDragon Egg Chance: §Gx1.67§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
sickly_dragon;Sickly;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
sickly_dragon_desc;This dragon was born a stunted; sick and misshapen thing.\nTaming Chance: §Gx2§!\nLife expectantcy: §RBad§!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
fair_dragon;Beautiful;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fair_dragon_desc;This dragon is one of the most splendid ever seen upon the earth.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ugly_dragon;Ugly;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ugly_dragon_desc;This dragon is unpleasant to look upon; with mishapen wings and ugly scales.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
DragonColour_Black;Black;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Green;Green;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Cream;Cream;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Red;Red;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Scarlet;Scarlet;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Silver;Silver;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Steel;Steel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_White;White;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Bronze;Bronze;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Yellow;Yellow;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Golden;Golden;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Blue;Blue;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Brown;Brown;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Purple;Purple;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Dark;Dark;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Orange;Orange;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Amber;Amber;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Crimson;Crimson;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Emerald;Emerald;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DragonColour_Sapphire;Sapphire;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.100;As the months go by; [From.GetFirstName] seems to be becoming more prone to bouts of rage. [From.GetSheHeCap] frequently lashes out when approached; and has already severely injured a number of guards and courtiers.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.100;Good; [From.GetHerHis] rage will be a potent weapon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTBdragon.100;I will lash [From.GetHerHim] with whips to teach [From.GetHerHim] respect!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.100;I will try to gain [From.GetHerHis] trust;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.100;I know just the way to soothe [From.GetHerHim];;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.105;Whilst training with [From.GetFirstName]; you notice that [From.GetSheHe] seems to be very calm and receptive to your touch. [From.GetSheHeCap] takes your orders and commands with calm obedience.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.105;This bodes well;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.105;This will not do; I must beat it into a powerful rage!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.110;[From.GetFirstName] is growing lazy. [From.GetSheHeCap] spends most of the day sleeping or basking in the sun; and rarely goes out to hunt on [From.GetHerHis] own accord. [From.GetSheHeCap] also tends to be indifferent to your efforts to train [From.GetHerHim].;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.110;Oh well; it must be the way of dragons;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTBdragon.110;This calls for the dragon whip!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.110;I will take [From.GetHerHim] on daily excercises to break this stupour;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.110;I will offer subtle rewards for increased activity;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.115;You've noticed that [From.GetFirstName] is growing fond of other dragons; and is seen to be frequently playing with or dancing in the skies with [From.GetHerHis] cousins. Although this does mean [From.GetSheHe] suffers the occasional injury from not so social dragons.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.115B;You've noticed that [From.GetFirstName] is growing fond of other animals; and is seen to be frequently playing with or dancing in the skies with larger creatures; at least those [From.GetSheHe] does desire to eat. Although this does mean [From.GetSheHe] suffers the occasional injury from not so social beasts.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.115;This seems harmless;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.115;Put [From.GetHerHim] in the bear pit; that will teach [From.GetHerHim] otherwise!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTCdragon.115;I will firmly command [From.GetHerHim] to stop this dangerous behaviour;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.115;When [From.GetSheHe] does this; I firmly pull on [From.GetHerHis] reigns;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.120;[From.GetFirstName] does not seem normal. Sometimes [From.GetSheHe] seems to be acting calmly and is in control; the next moment [From.GetSheHe] can be viciously attacking anything and everything within range; often including me.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.120;[From.GetSheHeCap] is uncontrollable when crazed;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.120;I remember reading about a special dragon horn...;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.120;Yes! Together we shall smite god and man!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.125;Over the years a special bond has developed between you and [From.GetFirstName]. [From.GetSheHeCap] seems paricularly receptive to your touch; and seems genuinely pleased when you meet. This is most unusual for a dragon.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.125;When we fly; we shall be as one;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTBdragon.125;No; I demand respect; I will lash and beat it!;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESCdragon.130;[From.GetFirstName] is proving to be somewhat cautious and elusive. When [From.GetSheHe] is in the wild it is hard to track [From.GetHerHim] down again; and [From.GetSheHe] seems most displeased when in the company of other men and dragons.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.130;[From.GetSheHeCap] is a shy beast;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.130;Force [From.GetHerHim] into melees and hunts!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.130;I will try and introduce [From.GetHerHim] to other creatures;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.130;Offer clever reassurance when man or beast approach;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.135;[From.GetFirstName] has grown into a large and powerful dragon. However this means [From.GetSheHe] is no longer as agile or fast as [From.GetSheHe] once was.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.135;OK;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.141;We have had reports from [FromFrom.Location.GetName] about a wild dragon. [FromFrom.GetFirstNameWithNick] attacked [FromFrom.GetHerHis] cousin [From.GetFirstNameWithNick]; grievously injuring the weaker dragon.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.141;Dragons can be vicious in the wild;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.141;This wild beast must be put in the dragonpit;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.142;The wild dragon [FromFrom.GetFirstNameWithNick] is known to attack smaller dragons; and it has been reported that recently [FromFrom.GetSheHe] emerged from [FromFrom.GetHerHis] lair near [FromFrom.Location.GetName] to attack [FromFrom.GetHerHis] cousin [From.GetFirstNameWithNick]. The ravaged corpse of [From.GetFirstName] was found nearby not long after.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.142;If we leave [FromFrom.GetHerHim] alone [FromFrom.GetSheHe] will not bother us;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.142;[FromFrom.GetSheHeCap] is a danger to other dragons; and must be locked in the dragonpit;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.143;The wild dragon [FromFrom.GetFirstNameWithNick] has been attacking smaller dragons in and around [FromFrom.Location.GetName]. We have had reports that [FromFrom.GetSheHe] has attacked [From.GetFirstNameWithNick]; but that [FromFrom.GetHerHis] target managed to fend [FromFrom.GetHerHim] off and escape with minor injuries.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.143;[FromFrom.GetSheHeCap] is an aggressive dragon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.143;The beast must be put in the dragonpit before [FromFrom.GetSheHe] kills a dragon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.146;The dragons [FromFrom.GetFirstNameWithNick] and [From.GetFirstNameWithNick] appear to have become a mating pair. They can often been seen flying togther or coiled about one another in the fields of [FromFrom.Location.GetName].;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.146;How touching;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
peasants_scared_of_dragon;Peasants Scared of Dragon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.799;This is a bad omen for my [FromFrom.GetRootRelation];;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPbestow_dragon_eggCHILD;The egg is placed in young [Root.GetFirstName]'s bed; hopefully prompting it to hatch\n;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.156;Whilst chained up in the dragonpit; [From.GetFirstNameWithNick] has been observed to suffer from frequent bouts of uncontained fury. [From.GetSheHeCap] is constantly struggling against [From.GetHerHis] chains; and has burnt and maimed many of the guards whilst they have tried to control the dragon. Some fear the beast will do [From.GetHerHim]self harm if kept locked up like this.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.156;There is nothing we can do;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.156;Release [From.GetHerHim] from the pit before [From.GetSheHe] harms [From.GetHerHim]self;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.156;I will enter the pit and calm [From.GetHerHim] down;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.160;As is now [Root.GetOnlyDynastyName] tradition; you have young [From.GetTitledFirstNameNoRegnal] sleep in [From.GetHerHis] bed with [From.GetHerHis] new dragon egg. If a dragon is hatched; it will be a sign that the child is indeed a true [Root.GetOnlyDynastyName].;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTdragon.160;But what if the dragon is weak?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.161;Every night ever since you were given it; you have been sleeping with your dragon egg. It was been getting gradually warmer; almost to the point where it is red hot. But there is no pain when I touch it. Now it is hatching!;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTdragon.161;I name [new_dragon.GetHerHim] [new_dragon.GetFirstName]!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.162;Every night ever since you were given it; you have been sleeping with your dragon egg. But it has remained cold. As the months slip by you and your family give up hope of it hatching anytime soon.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTdragon.162;Is this a bad omen for me?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.163;Every night ever since [From.GetSheHe] was given it; my [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] has been sleeping with [From.GetHerHis] dragon egg. But it has remained cold. As the months slip by we have given up hope of it hatching anytime soon.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTdragon.163;This must be a bad omen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
call_for_dragon_riders;Call for Dragon Riders;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
call_for_dragon_riders_desc;There are riderless dragons in your lands; call for riders so that you may use them in the war.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
calling_for_dragon_riders;Calling for Dragon Riders;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.170;A call is issued to all your subjects; promising glory and wealth to anyone who could master a dragon in your lands.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCdragon.170;You have issued a call to all your subjects; promising glory and wealth to anyone who can master a dragon in your lands. Many men; both noble and peasant; are likely to try their hand.;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTdragon.170;Any new riders will surely sway the war;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.171;[From.GetTitledFirstNameWithDynastyNoRegnal] has issued a call to all [From.GetHerHis] subjects; promising glory and wealth to anyone who can master a dragon in [From.GetHerHis] lands. No doubt [From.GetSheHe] feels [From.GetSheHe] needs dragon riders to fight in the war.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTdragon.171;Who will succeed?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.172;A previously obscure [dragon_seed.GetManWoman] by the name of [dragon_seed.GetTitledFirstNameNoRegnal] has succeessfully tamed [dragon_seed_dragon.GetTitledFirstNameWithNick]! This remarkable [dragon_seed.GetManWoman] was sworn to fight by your side in the war.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.172B;A previously obscure [dragon_seed.GetManWoman] by the name of [dragon_seed.GetTitledFirstNameNoRegnal] has succeessfully tamed [dragon_seed_dragon.GetTitledFirstNameWithNick]! This remarkable dragonseed was sworn to fight by your side in the war.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTdragon.172;Excellent;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.99;[From.GetFirstName] is finally married; perhaps it is now time to giver her the three petrified dragon eggs from Asshai that I possess?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.99;Yes; this is all part of the plan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTBdragon.99;No; she is not ready;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
release_from_dragonpit;Release From the Dragonpit;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
release_from_dragonpit_desc;Release [Root.GetFirstName] from the dragonpit; allowing [Root.GetHerHim] to freely roam and hunt in the lands of [Root.Location.GetName].;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
